# sin^2(theta_24)   Delta_m^2_41   chi^2
0.0001 1.58489 5.06661e+07
0.0001 1.99526 1.05636e+08
0.0001 2.51189 1.96251e+08
0.0001 3.16228 3.07515e+08
0.0001 3.98107 3.97319e+08
0.0001 5.01187 4.36132e+08
0.0001 6.30957 4.33574e+08
0.0001 7.94328 4.06724e+08
0.0001 10 3.35296e+08
0.0001 12.5893 2.26147e+08
0.0001 15.8489 1.63661e+08
0.0001 19.9526 1.31819e+08
0.0001 25.1189 9.07389e+07
0.0001 31.6228 7.41294e+07
0.0001 39.8107 5.55474e+07
0.0001 50.1187 3.25821e+07
0.0001 63.0957 1.93717e+07
0.0001 79.4328 1.32409e+07
0.000125893 0.0001 -1.27873
0.000125893 0.000125893 -1.52062
0.000125893 0.000158489 -1.37299
0.000125893 0.000199526 -1.42947
0.000125893 0.000251189 -1.55691
0.000125893 0.000316228 -1.52711
0.000125893 0.000398107 -1.46869
0.000125893 0.000501187 -1.48534
0.000125893 0.000630957 -1.38807
0.000125893 0.000794328 -1.51712
0.000125893 0.001 -1.45793
0.000125893 0.00125893 -1.55357
0.000125893 0.00158489 -1.43685
0.000125893 0.00199526 -1.32931
0.000125893 0.00251189 -1.39178
0.000125893 0.00316228 -1.62002
0.000125893 0.00398107 -1.61845
0.000125893 0.00501187 -1.41469
0.000125893 0.00630957 -1.39047
0.000125893 0.00794328 -1.19531
0.000125893 0.01 -1.02202
0.000125893 0.0125893 -0.496223
0.000125893 0.0158489 0.390256
0.000125893 0.0199526 1.52432
0.000125893 0.0251189 6.04196
0.000125893 0.0316228 15.6115
0.000125893 0.0398107 41.7145
0.000125893 0.0501187 109.935
0.000125893 0.0630957 283.264
0.000125893 0.0794328 725.728
0.000125893 0.1 1849.52
0.000125893 0.125893 4695.35
0.000125893 0.158489 11873.1
0.000125893 0.199526 29924.6
0.000125893 0.251189 75126
0.000125893 0.316228 187707
0.000125893 0.398107 466036
0.000125893 0.501187 1.14708e+06
0.000125893 0.630957 2.79053e+06
0.000125893 0.794328 6.68639e+06
0.000125893 1 1.57256e+07
0.000125893 1.25893 3.61451e+07
0.000125893 1.58489 8.02959e+07
0.000125893 1.99526 1.67414e+08
0.000125893 2.51189 3.11031e+08
0.000125893 3.16228 4.87384e+08
0.000125893 3.98107 6.29732e+08
0.000125893 5.01187 6.91265e+08
0.000125893 6.30957 6.87223e+08
0.000125893 7.94328 6.44668e+08
0.000125893 10 5.31447e+08
0.000125893 12.5893 3.58436e+08
0.000125893 15.8489 2.59393e+08
0.000125893 19.9526 2.08928e+08
0.000125893 25.1189 1.43821e+08
0.000125893 31.6228 1.17495e+08
0.000125893 39.8107 8.80425e+07
0.000125893 50.1187 5.16425e+07
0.000125893 63.0957 3.07037e+07
0.000125893 79.4328 2.09864e+07
0.000158489 0.0001 -1.59365
0.000158489 0.000125893 -1.36435
0.000158489 0.000158489 -1.41753
0.000158489 0.000199526 -1.61709
0.000158489 0.000251189 -1.64336
0.000158489 0.000316228 -1.43685
0.000158489 0.000398107 -1.52976
0.000158489 0.000501187 -1.47184
0.000158489 0.000630957 -1.41545
0.000158489 0.000794328 -1.49732
0.000158489 0.001 -1.58889
0.000158489 0.00125893 -1.37823
0.000158489 0.00158489 -1.34634
0.000158489 0.00199526 -1.26936
0.000158489 0.00251189 -1.45848
0.000158489 0.00316228 -1.44981
