# sin^2(theta_24)   Delta_m^2_41   chi^2
5.01187e-05 0.501187 1.94829e-07
5.01187e-05 0.630957 2.43238e-07
5.01187e-05 0.794328 2.86396e-07
5.01187e-05 1 3.05469e-07
5.01187e-05 1.25893 1.72341e-07
5.01187e-05 1.58489 2.22002e-07
5.01187e-05 1.99526 2.5068e-07
5.01187e-05 2.51189 1.50241e-07
5.01187e-05 3.16228 1.7986e-07
5.01187e-05 3.98107 2.10485e-07
5.01187e-05 5.01187 1.58457e-07
5.01187e-05 6.30957 2.69795e-07
5.01187e-05 7.94328 1.36507e-07
5.01187e-05 10 2.14946e-07
5.01187e-05 12.5893 1.55526e-07
5.01187e-05 15.8489 1.31716e-07
5.01187e-05 19.9526 2.0579e-07
5.01187e-05 25.1189 1.99721e-07
5.01187e-05 31.6228 2.72707e-07
5.01187e-05 39.8107 2.90749e-07
5.01187e-05 50.1187 2.19087e-07
5.01187e-05 63.0957 2.03839e-07
5.01187e-05 79.4328 1.97168e-07
6.30957e-05 0.0001 3.71822e-08
6.30957e-05 0.000125893 3.78915e-08
6.30957e-05 0.000158489 3.97082e-08
6.30957e-05 0.000199526 4.35693e-08
6.30957e-05 0.000251189 5.11319e-08
6.30957e-05 0.000316228 6.52501e-08
6.30957e-05 0.000398107 9.05453e-08
6.30957e-05 0.000501187 1.33641e-07
6.30957e-05 0.000630957 2.01982e-07
6.30957e-05 0.000794328 2.98847e-07
6.30957e-05 0.001 4.07999e-07
6.30957e-05 0.00125893 4.61217e-07
6.30957e-05 0.00158489 3.51746e-07
6.30957e-05 0.00199526 1.25871e-07
6.30957e-05 0.00251189 2.3886e-08
6.30957e-05 0.00316228 7.9964e-08
6.30957e-05 0.00398107 4.09154e-07
6.30957e-05 0.00501187 6.87469e-07
6.30957e-05 0.00630957 3.96701e-07
6.30957e-05 0.00794328 3.11541e-07
6.30957e-05 0.01 3.83311e-07
6.30957e-05 0.0125893 4.53152e-07
6.30957e-05 0.0158489 3.44816e-07
6.30957e-05 0.0199526 3.29609e-07
6.30957e-05 0.0251189 2.41702e-07
6.30957e-05 0.0316228 3.57146e-07
6.30957e-05 0.0398107 3.87639e-07
6.30957e-05 0.0501187 3.20303e-07
6.30957e-05 0.0630957 2.65221e-07
6.30957e-05 0.0794328 4.10764e-07
6.30957e-05 0.1 2.69513e-07
6.30957e-05 0.125893 2.82493e-07
6.30957e-05 0.158489 3.71311e-07
6.30957e-05 0.199526 2.22834e-07
6.30957e-05 0.251189 3.5556e-07
6.30957e-05 0.316228 2.8898e-07
6.30957e-05 0.398107 3.01571e-07
6.30957e-05 0.501187 3.08777e-07
6.30957e-05 0.630957 3.85497e-07
6.30957e-05 0.794328 4.539e-07
6.30957e-05 1 4.84127e-07
6.30957e-05 1.25893 2.73133e-07
6.30957e-05 1.58489 3.5184e-07
6.30957e-05 1.99526 3.97292e-07
6.30957e-05 2.51189 2.38107e-07
6.30957e-05 3.16228 2.8505e-07
6.30957e-05 3.98107 3.33588e-07
6.30957e-05 5.01187 2.5113e-07
6.30957e-05 6.30957 4.27587e-07
6.30957e-05 7.94328 2.16344e-07
6.30957e-05 10 3.40658e-07
6.30957e-05 12.5893 2.46484e-07
6.30957e-05 15.8489 2.08749e-07
6.30957e-05 19.9526 3.26146e-07
